GO	term_name
GO:0000469	NA
GO:0009107	lipoate biosynthetic process
GO:0016992	lipoate synthase activity
GO:0000785	chromatin
GO:0030014	CCR4-NOT complex
GO:0003952	NAD+ synthase (glutamine-hydrolyzing) activity
GO:0005801	cis-Golgi network
GO:0006784	heme A biosynthetic process
GO:0070461	SAGA-type complex
GO:0004856	xylulokinase activity
GO:0042732	D-xylose metabolic process
GO:0008250	oligosaccharyltransferase complex
GO:0005542	folic acid binding
GO:0008272	sulfate transport
GO:0015116	sulfate transmembrane transporter activity
GO:0015095	magnesium ion transmembrane transporter activity
GO:0015693	magnesium ion transport
GO:0004620	phospholipase activity
GO:0009395	phospholipid catabolic process
GO:0004823	leucine-tRNA ligase activity
GO:0006429	leucyl-tRNA aminoacylation
GO:0008021	synaptic vesicle
GO:0019510	S-adenosylhomocysteine catabolic process
GO:0008796	bis(5'-nucleosyl)-tetraphosphatase activity
GO:0004342	glucosamine-6-phosphate deaminase activity
GO:0004397	histidine ammonia-lyase activity
GO:0006548	histidine catabolic process
GO:0016841	ammonia-lyase activity
GO:0005242	inward rectifier potassium channel activity
GO:0004654	polyribonucleotide nucleotidyltransferase activity
GO:0006402	mRNA catabolic process
GO:0003883	CTP synthase activity
GO:0004346	glucose-6-phosphatase activity
GO:0030141	secretory granule
GO:0006537	glutamate biosynthetic process
GO:0015930	glutamate synthase activity
GO:0016638	oxidoreductase activity, acting on the CH-NH2 group of donors
GO:0016639	oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor
GO:0008488	gamma-glutamyl carboxylase activity
GO:0017187	peptidyl-glutamic acid carboxylation
GO:0030674	protein-macromolecule adaptor activity
GO:0006275	regulation of DNA replication
GO:0030337	DNA polymerase processivity factor activity
GO:0009452	7-methylguanosine RNA capping
GO:0097020	COPII receptor activity
GO:0004797	thymidine kinase activity
GO:0003999	adenine phosphoribosyltransferase activity
GO:0006168	adenine salvage
GO:0034597	phosphatidylinositol-4,5-bisphosphate 4-phosphatase activity
GO:0006401	RNA catabolic process
GO:0032299	ribonuclease H2 complex
GO:0016925	protein sumoylation
GO:0019948	SUMO activating enzyme activity
GO:0006108	malate metabolic process
GO:0016615	malate dehydrogenase activity
GO:0030060	L-malate dehydrogenase activity
GO:0033588	elongator holoenzyme complex
GO:0009159	deoxyribonucleoside monophosphate catabolic process
GO:0070694	deoxyribonucleoside 5'-monophosphate N-glycosidase activity
GO:0005869	dynactin complex
GO:0007268	chemical synaptic transmission
GO:0033130	acetylcholine receptor binding
GO:0043495	protein-membrane adaptor activity
GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogenase activity
GO:0006694	steroid biosynthetic process
GO:0004418	hydroxymethylbilane synthase activity
GO:0018160	peptidyl-pyrromethane cofactor linkage
GO:0004729	oxygen-dependent protoporphyrinogen oxidase activity
GO:0008121	ubiquinol-cytochrome-c reductase activity
GO:0004591	oxoglutarate dehydrogenase (succinyl-transferring) activity
GO:0030976	thiamine pyrophosphate binding
GO:0016180	snRNA processing
GO:0032039	integrator complex
GO:0018293	protein-FAD linkage
GO:0008253	5'-nucleotidase activity
GO:0005452	solute:inorganic anion antiporter activity
GO:0006820	monoatomic anion transport
GO:0008509	monoatomic anion transmembrane transporter activity
GO:0031369	translation initiation factor binding
GO:0004617	phosphoglycerate dehydrogenase activity
GO:0019509	L-methionine salvage from methylthioadenosine
GO:0042026	protein refolding
GO:0006730	one-carbon metabolic process
GO:0009258	10-formyltetrahydrofolate catabolic process
GO:0016155	formyltetrahydrofolate dehydrogenase activity
GO:0015016	[heparan sulfate]-glucosamine N-sulfotransferase activity
GO:0004368	glycerol-3-phosphate dehydrogenase (quinone) activity
GO:0006072	glycerol-3-phosphate metabolic process
GO:0009331	glycerol-3-phosphate dehydrogenase complex
GO:0051726	regulation of cell cycle
GO:0006480	N-terminal protein amino acid methylation
GO:0043874	acireductone synthase activity
GO:0003979	UDP-glucose 6-dehydrogenase activity
GO:0000015	phosphopyruvate hydratase complex
GO:0004634	phosphopyruvate hydratase activity
GO:0015267	channel activity
GO:0005849	mRNA cleavage factor complex
GO:0006378	mRNA polyadenylation
GO:0019799	tubulin N-acetyltransferase activity
GO:0071929	alpha-tubulin acetylation
GO:0052745	inositol phosphate phosphatase activity
GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity
GO:0004377	GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity
GO:0033961	cis-stilbene-oxide hydrolase activity
GO:0031307	NA
GO:0004378	GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity
GO:0022900	electron transport chain
GO:0004686	elongation factor-2 kinase activity
GO:0046600	negative regulation of centriole replication
GO:0001055	RNA polymerase II activity
GO:1902751	positive regulation of cell cycle G2/M phase transition
GO:0045017	glycerolipid biosynthetic process
GO:0016429	tRNA (adenine-N1-)-methyltransferase activity
GO:0004491	methylmalonate-semialdehyde dehydrogenase (acylating, NAD) activity
GO:0071157	NA
GO:0000226	microtubule cytoskeleton organization
GO:0015630	microtubule cytoskeleton
GO:0048278	vesicle docking
GO:0015098	molybdate ion transmembrane transporter activity
GO:0015689	molybdate ion transport
GO:0045296	cadherin binding
GO:0015379	potassium:chloride symporter activity
GO:0051262	protein tetramerization
GO:0006471	NA
GO:0004735	pyrroline-5-carboxylate reductase activity
GO:0006561	proline biosynthetic process
GO:0017134	fibroblast growth factor binding
GO:0004474	malate synthase activity
GO:0006097	glyoxylate cycle
GO:0000808	origin recognition complex
GO:0003724	RNA helicase activity
GO:0008374	O-acyltransferase activity
GO:0044255	cellular lipid metabolic process
GO:0008410	CoA-transferase activity
GO:0004016	adenylate cyclase activity
GO:0006171	cAMP biosynthetic process
GO:0003872	6-phosphofructokinase activity
GO:0006002	fructose 6-phosphate metabolic process
GO:0010309	acireductone dioxygenase [iron(II)-requiring] activity
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity
GO:0005093	Rab GDP-dissociation inhibitor activity
GO:0050194	phosphonoacetaldehyde hydrolase activity
GO:0004733	pyridoxamine phosphate oxidase activity
GO:0008615	pyridoxine biosynthetic process
GO:0001682	tRNA 5'-leader removal
GO:0004526	ribonuclease P activity
GO:0030677	ribonuclease P complex
GO:0005845	mRNA cap binding complex
GO:0106005	RNA 5'-cap (guanine-N7)-methylation
GO:1990423	RZZ complex
GO:0007093	mitotic cell cycle checkpoint signaling
GO:0008119	thiopurine S-methyltransferase activity
GO:1990316	Atg1/ULK1 kinase complex
GO:0042255	ribosome assembly
GO:0004180	carboxypeptidase activity
GO:0004359	glutaminase activity
GO:0005732	sno(s)RNA-containing ribonucleoprotein complex
GO:0034457	Mpp10 complex
GO:0019903	protein phosphatase binding
GO:0004126	cytidine deaminase activity
GO:0009972	cytidine deamination
GO:0071586	CAAX-box protein processing
GO:0004656	procollagen-proline 4-dioxygenase activity
GO:0004322	ferroxidase activity
GO:0045893	positive regulation of DNA-templated transcription
GO:0034477	U6 snRNA 3'-end processing
GO:0004419	hydroxymethylglutaryl-CoA lyase activity
GO:0008134	transcription factor binding
GO:0000027	ribosomal large subunit assembly
GO:0017070	U6 snRNA binding
GO:0030623	U5 snRNA binding
GO:0003884	D-amino-acid oxidase activity
GO:0046416	D-amino acid metabolic process
GO:0004781	sulfate adenylyltransferase (ATP) activity
GO:0035598	N6-threonylcarbomyladenosine methylthiotransferase activity
GO:0035600	tRNA methylthiolation
GO:0016866	intramolecular transferase activity
GO:0048280	vesicle fusion with Golgi apparatus
GO:0004747	ribokinase activity
GO:0006014	D-ribose metabolic process
GO:0019867	outer membrane
GO:0016471	vacuolar proton-transporting V-type ATPase complex
GO:0032367	intracellular cholesterol transport
GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
GO:0005965	protein farnesyltransferase complex
GO:0018343	protein farnesylation
GO:0004415	hyalurononglucosaminidase activity
GO:1990426	mitotic recombination-dependent replication fork processing
GO:1905515	non-motile cilium assembly
GO:0035307	positive regulation of protein dephosphorylation
GO:0071595	Nem1-Spo7 phosphatase complex
GO:0004659	prenyltransferase activity
GO:0009249	protein lipoylation
GO:0033819	lipoyl(octanoyl) transferase activity
GO:0097361	CIA complex
GO:0004371	glycerone kinase activity
GO:0006071	glycerol metabolic process
GO:0016844	strictosidine synthase activity
GO:0000814	ESCRT II complex
GO:0071985	multivesicular body sorting pathway
GO:0003972	RNA ligase (ATP) activity
GO:0008452	RNA ligase activity
GO:0072669	tRNA-splicing ligase complex
GO:0036297	interstrand cross-link repair
GO:0043240	Fanconi anaemia nuclear complex
GO:0004109	coproporphyrinogen oxidase activity
GO:0004671	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity
GO:0006481	C-terminal protein methylation
